decision,kind,status,url,titleLength,descriptionLength,h1Count,jsonLdCount,imageCount,imagesMissingAlt,issues,canonical,title,description
strengthen_seo,home,200,https://moonn.ru/,90,166,5,0,55,55,images_missing_alt;long_title;missing_jsonld;multiple_h1,https://moonn.ru,Психолог МГУ в Москве - Татьяна Мунн. Быстрая Психология (Психотерапия). г.Москва moonn.ru,Татьяна Мунн - Дипломированный Психолог МГУ. Москва. Онлайн. Очно. Кабинет. Быстрый результат за 1-3 встречи. Цена. Хороший частный психолог для подростков и взрослых
strengthen_seo,other,200,https://moonn.ru/20251201,108,76,1,0,5,5,canonical_mismatch;duplicate_description;duplicate_title;images_missing_alt;long_title;missing_jsonld,https://moonn.ru/novosti20251118,Командировка преподавателя МГУ Татьяны Мунн в филиал МГУ в г. Ташкенте (Узбекистан). 01–05 декабря 2025 года,"Тема лекций ""Психологическая подготовка студентов первого курса к экзаменам"""
strengthen_seo,other,200,https://moonn.ru/20251213,62,44,1,0,5,5,images_missing_alt;missing_jsonld;short_description,https://moonn.ru/20251213,Татьяна Мунн выступит на Московской Неделе Интерьера и Дизайна,"Тема выступления ""Порядок в доме и в голове"""
strengthen_seo,other,200,https://moonn.ru/20251216,255,255,3,0,5,5,images_missing_alt;long_description;long_title;missing_jsonld;multiple_h1,https://moonn.ru/20251216,"16 декабря преподаватель, практикующий психолог и эксперт по эмоциональному интеллекту Татьяна Мунн примет участие в Международной научно-практической конференции «Урбан-психология: вызовы нового времени и ответ мегаполиса», организованной факультетом пси","16 декабря преподаватель, практикующий психолог и эксперт по эмоциональному интеллекту Татьяна Мунн примет участие в Международной научно-практической конференции «Урбан-психология: вызовы нового времени и ответ мегаполиса», организованной факультетом пси"
strengthen_seo,other,200,https://moonn.ru/abuse_gaslight,75,85,1,0,11,11,duplicate_description;images_missing_alt;missing_jsonld,https://moonn.ru/abuse_gaslight,Статья - Абьюзинг и газлайтинг: в чем суть и отличия. Психолог Татьяна Мунн,Статья о психологическом насилии - Абьюзинг и Газлайтинг. Психолог Татьяна Мунн (МГУ)
strengthen_seo,other,200,https://moonn.ru/aromatherapy,119,130,0,0,19,19,images_missing_alt;long_title;missing_h1;missing_jsonld,https://moonn.ru/aromatherapy,Ароматерапия и Эфирные масла. Быстрая Психология: Использование ароматов в обретении внутренней гармонии и благополучия,Использование аромамасел в Психологии и Психотерапии. Подробное описание Ароматерапии. Татьяна Мунн - Дипломированный психолог МГУ
strengthen_seo,article,200,https://moonn.ru/article_diary_of_emotions,56,119,1,0,14,14,duplicate_description;images_missing_alt;missing_jsonld,https://moonn.ru/article_diary_of_emotions,Статья - Как вести Дневник Эмоций. Психолог Татьяна Мунн,Статья - Управление конфликтами в семье: методы эффективного разрешения и гармонизации отношений. Психолог Татьяна Мунн
strengthen_seo,article,200,https://moonn.ru/article_femininity,95,79,1,0,8,8,images_missing_alt;long_title;missing_jsonld,https://moonn.ru/article_femininity,Статья - Потеря женственности в отношениях. внутренние и внешние факторы. Психолог Татьяна Мунн,Статья о причинах потери женской привлекательности. Психолог Татьяна Мунн (МГУ)
strengthen_seo,article,200,https://moonn.ru/article_gadget_addiction,122,91,1,0,19,19,images_missing_alt;long_title;missing_jsonld,https://moonn.ru/article_gadget_addiction,"Статья - Зависимость подростков от гаджетов и социальных сетей: причины, последствия и пути решения. Психолог Татьяна Мунн",Статья о психологической зависимости от интернета у подростков. Психолог Татьяна Мунн (МГУ)
strengthen_seo,article,200,https://moonn.ru/article_toxic_job,92,125,1,0,2,2,images_missing_alt;long_title;missing_jsonld,https://moonn.ru/article_toxic_job,Статья - Как справиться с негативными эмоциями других людей на работе. Психолог Татьяна Мунн,"Статья о том, как не выгорать на работе, если Ваша работа связана с общением с токсичными людьми. Психолог Татьяна Мунн (МГУ)"
strengthen_seo,article,200,https://moonn.ru/articles/eq-dlya-rukovoditeley,88,127,1,0,2,2,canonical_mismatch;images_missing_alt;long_title;missing_jsonld,moonn.ru/articles/eq-dlya-rukovoditeley,Почему лидеры выгорают: эмоциональный интеллект как инструмент устойчивости руководителя,Мужчины-лидеры после 50 сталкиваются с невидимой нагрузкой. EQ помогает управлять стрессом и сохранять стратегическое мышление.
strengthen_seo,other,200,https://moonn.ru/baza-znaniy-emocionalnyy-intellekt-psihologiya,145,203,1,0,5,5,images_missing_alt;long_description;long_title;missing_jsonld,https://moonn.ru/baza-znaniy-emocionalnyy-intellekt-psihologiya,"База знаний Татьяны Мунн - статьи по психологии, эмоциям и soft skills, полезная информация - книги, статьи, видео, ссылки. Психолог Татьяна Мунн","База знаний Татьяны Мунн: статьи, полезные материалы и авторские разборы по эмоциональному интеллекту, психологии эмоций, soft skills, саморазвитию, отношениям, стрессу, выгоранию и личной эффективности."
strengthen_seo,legal_or_service,200,https://moonn.ru/call,10,0,0,0,2,2,images_missing_alt;missing_description;missing_h1;missing_jsonld;missing_og_image;short_title,https://moonn.ru/call,Blank page,
strengthen_seo,other,200,https://moonn.ru/depressivnoe-sostoyanie,103,102,0,0,8,8,duplicate_description;images_missing_alt;long_title;missing_h1;missing_jsonld,https://moonn.ru/depressivnoe-sostoyanie,"Депрессивное состояние и апатия. Помощь психолога - Татьяна Мунн (высокий рейтинг, быстрые результаты).","Татьяной Мунн - психолог с высоким рейтингом в Москве, хорошие отзывы, кабинет - метро Цветной бульвар"
strengthen_seo,other,200,https://moonn.ru/eintellect,105,63,1,0,5,5,images_missing_alt;long_title;missing_jsonld;short_description,https://moonn.ru/eintellect,Эмоциональный интеллект: Как стать хозяином своих эмоций и улучшить качество жизни. Психолог Татьяна Мунн,Статья об эмоциональном интеллекте. Психолог Татьяна Мунн (МГУ)
strengthen_seo,other,200,https://moonn.ru/emotional-intelligence/,23,151,0,0,4,4,canonical_mismatch;images_missing_alt;missing_h1;missing_jsonld;short_title,moonn.ru/emotional-intelligence/,ЭМОЦИОНАЛЬНЫЙ ИНТЕЛЛЕКТ,"Татьяна Мунн — практикующий психолог, спикер, преподаватель МГУ, автор метода «Быстрая психология», эксперт по soft skills и эмоциональному интеллекту."
